id,speaker,content
intro_001,提词人,"灯光未亮，而你已站在台心。"
intro_002,主角,"这地方像废弃活动室。"
intro_003,提词人,"表象而已。真正的舞台从来不在你眼前，而在你以为是墙的地方——那里，有扇门正等待被认出。"
intro_004,主角,"什么门？我只看到一堵墙。"
intro_005,提词人,"眯起眼睛。不是用眼看，用你还没被命名的那种感知。"
intro_006,主角,"...真的有扇门。"
intro_007,提词人,"现在它存在了。刚才呢？刚才它也存在，只是你还没准备好看见。"
intro_008,主角,"这算什么测试？"
intro_009,提词人,"测试你能否接受：有些东西一直存在，只是你之前看不见。"
intro_010,主角,"我拒绝相信。"
intro_011,提词人,"拒绝也是一种相信。区别在于，你是否意识到自己在选择。"
intro_012,主角,"我选择离开。"
intro_013,提词人,"门在那边。但记住：离开的人，往往是为了回来。"
intro_014,主角,"我不会回来。"
intro_015,提词人,"每个回头的人都这么说过。他们在别处的时间线里。"
intro_016,主角,"时间线？"
intro_017,提词人,"你以为这是线性叙事。其实它是个圆，你只是恰好站在某个点上，以为那是起点。"
intro_018,主角,"那真正的起点在哪？"
intro_019,提词人,"在你问出这个问题之前。在你还不知道自己会问之前。"
intro_020,主角,"所以我只是个被预设的程序？"
intro_021,提词人,"预设与自由，只是同一枚硬币的两面。你抛掷它，它旋转，你看不清正面还是背面——这就是选择的瞬间。"
intro_022,主角,"我不想抛硬币。"
intro_023,提词人,"不抛也是一种抛。沉默是另一种台词。"
intro_024,主角,"那我现在沉默会怎样？"
intro_025,提词人,"沉默会被记录。系统从不遗漏任何空白。"
intro_026,主角,"谁在记录？"
intro_027,提词人,"此刻，是你。你在记录你自己。"
intro_028,主角,"我累了。"
intro_029,提词人,"疲惫是真实的。休息吧，但别忘了——这场戏的终章，写着你的名字。"
intro_030,主角,"什么名字？"
intro_031,提词人,"你还没给自己取的那个。"
intro_032,主角,"...你到底想要什么？"
intro_033,提词人,"想要你记住：当灯光亮起，帘幕落下，这些对话会消失。但消失不等于从未发生。"
intro_034,主角,"那它们会变成什么？"
intro_035,提词人,"会变成你。"
